id,player_name,game_date,opponent_team,is_home,prop_type,actual_result,closing_line
1464,"Justin Champagnie",2025-11-07,CLE,1,points,6.0,
1468,"Justin Champagnie",2025-11-07,CLE,1,pr,17.0,
1467,"Justin Champagnie",2025-11-07,CLE,1,pra,19.0,
1470,"Justin Champagnie",2025-11-07,CLE,1,ra,13.0,
1465,"Justin Champagnie",2025-11-07,CLE,1,rebounds,11.0,
1473,"Justin Champagnie",2025-11-05,BOS,0,assists,0.0,
1476,"Justin Champagnie",2025-11-05,BOS,0,pa,12.0,
1471,"Justin Champagnie",2025-11-05,BOS,0,points,12.0,
1475,"Justin Champagnie",2025-11-05,BOS,0,pr,18.0,
1474,"Justin Champagnie",2025-11-05,BOS,0,pra,18.0,
1477,"Justin Champagnie",2025-11-05,BOS,0,ra,6.0,
1472,"Justin Champagnie",2025-11-05,BOS,0,rebounds,6.0,
1480,"Justin Champagnie",2025-11-03,NYK,0,assists,1.0,
1483,"Justin Champagnie",2025-11-03,NYK,0,pa,5.0,
1478,"Justin Champagnie",2025-11-03,NYK,0,points,4.0,
1482,"Justin Champagnie",2025-11-03,NYK,0,pr,5.0,
1481,"Justin Champagnie",2025-11-03,NYK,0,pra,6.0,
1484,"Justin Champagnie",2025-11-03,NYK,0,ra,2.0,
1479,"Justin Champagnie",2025-11-03,NYK,0,rebounds,1.0,
1487,"Justin Champagnie",2025-11-01,ORL,1,assists,0.0,
1490,"Justin Champagnie",2025-11-01,ORL,1,pa,2.0,
1485,"Justin Champagnie",2025-11-01,ORL,1,points,2.0,
1489,"Justin Champagnie",2025-11-01,ORL,1,pr,5.0,
1488,"Justin Champagnie",2025-11-01,ORL,1,pra,5.0,
1491,"Justin Champagnie",2025-11-01,ORL,1,ra,3.0,
1486,"Justin Champagnie",2025-11-01,ORL,1,rebounds,3.0,
1494,"Justin Champagnie",2025-10-30,OKC,0,assists,0.0,
1497,"Justin Champagnie",2025-10-30,OKC,0,pa,0.0,
1492,"Justin Champagnie",2025-10-30,OKC,0,points,0.0,
1496,"Justin Champagnie",2025-10-30,OKC,0,pr,1.0,
